x,y
1952.9166667,86.2
1953.1666667,90.7
1953.6666667,80.8
1953.9166667,80.7
1954.1666667,82
1954.4166667,82.9
1954.9166667,87
1955.1666667,95.9
1955.4166667,99.1
1955.9166667,99.7
1956.4166667,98.2
1956.6666667,99.9
1956.9166667,100.2
1957.4166667,92.9
1957.9166667,83.7
1958.1666667,78.5
1958.4166667,80.9
1958.9166667,90.8
1959.4166667,95.3
1959.9166667,93.8
1960.1666667,100
1960.4166667,93.3
1960.6666667,97.2
1960.9166667,90.1
1961.1666667,91.6
1961.4166667,92.5
1961.6666667,99.2
1961.9166667,93
1962.1666667,99.9
1962.4166667,95.4
1962.6666667,91.6
1962.9166667,95
1963.1666667,98.4
1963.4166667,91.7
1963.6666667,96.4
1963.9166667,94.4
1964.1666667,99.5
1964.4166667,98.5
1964.6666667,100.6
1964.9166667,99.9
1965.1666667,102
1965.4166667,105.4
1965.6666667,103.4
1965.9166667,102.9
1966.1666667,100
1966.4166667,95.7
1966.6666667,91.2
1966.9166667,88.3
1967.1666667,94.1
1967.4166667,95.9
1967.6666667,97
1967.9166667,92.9
1968.1666667,97.2
1968.4166667,92.4
1968.6666667,92.4
1968.9166667,91.7
1969.1666667,98.2
1969.4166667,91.5
1969.6666667,86.4
1969.9166667,79.7
1970.1666667,78.1
1970.4166667,75.4
1970.6666667,77.6
1970.9166667,72.4
1971.1666667,78.1
1971.4166667,80.2
1971.6666667,82.1
1971.9166667,82
1972.1666667,92.8
1972.4166667,88.6
1972.6666667,95.2
1972.9166667,90.7
1973.1666667,81.9
1973.4166667,77
1973.6666667,72
1973.9166667,76.5
1974.1666667,61.8
1974.4166667,72.1
1974.6666667,64.4
1974.9166667,59.5
1975.1666667,57.6
1975.4166667,72.8
1975.6666667,75.7
1975.9166667,75.6
1976.1666667,84.6
1976.4166667,83.3
1976.6666667,89.7
1976.9166667,87
1977.1666667,87.1
1977.4166667,90.2
1977.6666667,89
1977.9166667,84.4
1978.0833333,83.7
1978.1666667,84.3
1978.25,78.8
1978.3333333,81.6
1978.4166667,82.9
1978.5,80
1978.5833333,82.4
1978.6666667,78.4
1978.75,80.4
1978.8333333,79.3
1978.9166667,75
1979,66.1
1979.0833333,72.1
1979.1666667,73.9
1979.25,68.4
1979.3333333,66
1979.4166667,68.1
1979.5,65.8
1979.5833333,60.4
1979.6666667,64.5
1979.75,66.7
1979.8333333,62.1
1979.9166667,63.3
1980,61
1980.0833333,67
1980.1666667,66.9
1980.25,56.5
1980.3333333,52.7
1980.4166667,51.7
1980.5,58.7
1980.5833333,62.3
1980.6666667,67.3
1980.75,73.7
1980.8333333,75
1980.9166667,76.7
1981,64.5
1981.0833333,71.4
1981.1666667,66.9
1981.25,66.5
1981.3333333,72.4
1981.4166667,76.3
1981.5,73.1
1981.5833333,74.1
1981.6666667,77.2
1981.75,73.1
1981.8333333,70.3
1981.9166667,62.5
1982,64.3
1982.0833333,71
1982.1666667,66.5
1982.25,62
1982.3333333,65.5
1982.4166667,67.5
1982.5,65.7
1982.5833333,65.4
1982.6666667,65.4
1982.75,69.3
1982.8333333,73.4
1982.9166667,72.1
1983,71.9
1983.0833333,70.4
1983.1666667,74.6
1983.25,80.8
1983.3333333,89.1
1983.4166667,93.3
1983.5,92.2
1983.5833333,92.8
1983.6666667,90.9
1983.75,89.9
1983.8333333,89.3
1983.9166667,91.1
1984,94.2
1984.0833333,100.1
1984.1666667,97.4
1984.25,101
1984.3333333,96.1
1984.4166667,98.1
1984.5,95.5
1984.5833333,96.6
1984.6666667,99.1
1984.75,100.9
1984.8333333,96.3
1984.9166667,95.7
1985,92.9
1985.0833333,96
1985.1666667,93.7
1985.25,93.7
1985.3333333,94.6
1985.4166667,91.8
1985.5,96.5
1985.5833333,94
1985.6666667,92.4
1985.75,92.1
1985.8333333,88.4
1985.9166667,90.9
1986,93.9
1986.0833333,95.6
1986.1666667,95.9
1986.25,95.1
1986.3333333,96.2
1986.4166667,94.8
1986.5,99.3
1986.5833333,97.7
1986.6666667,94.9
1986.75,91.9
1986.8333333,95.6
1986.9166667,91.4
1987,89.1
1987.0833333,90.4
1987.1666667,90.2
1987.25,90.8
1987.3333333,92.8
1987.4166667,91.1
1987.5,91.5
1987.5833333,93.7
1987.6666667,94.4
1987.75,93.6
1987.8333333,89.3
1987.9166667,83.1
1988,86.8
1988.0833333,90.8
1988.1666667,91.6
1988.25,94.6
1988.3333333,91.2
1988.4166667,94.8
1988.5,94.7
1988.5833333,93.4
1988.6666667,97.4
1988.75,97.3
1988.8333333,94.1
1988.9166667,93
1989,91.9
1989.0833333,97.9
1989.1666667,95.4
1989.25,94.3
1989.3333333,91.5
1989.4166667,90.7
1989.5,90.6
1989.5833333,92
1989.6666667,89.6
1989.75,95.8
1989.8333333,93.9
1989.9166667,90.9
1990,90.5
1990.0833333,93
1990.1666667,89.5
1990.25,91.3
1990.3333333,93.9
1990.4166667,90.6
1990.5,88.3
1990.5833333,88.2
1990.6666667,76.4
1990.75,72.8
1990.8333333,63.9
1990.9166667,66
1991,65.5
1991.0833333,66.8
1991.1666667,70.4
1991.25,87.7
1991.3333333,81.8
1991.4166667,78.3
1991.5,82.1
1991.5833333,82.9
1991.6666667,82
1991.75,83
1991.8333333,78.3
1991.9166667,69.1
1992,68.2
1992.0833333,67.5
1992.1666667,68.8
1992.25,76
1992.3333333,77.2
1992.4166667,79.2
1992.5,80.4
1992.5833333,76.6
1992.6666667,76.1
1992.75,75.6
1992.8333333,73.3
1992.9166667,85.3
1993,91
1993.0833333,89.3
1993.1666667,86.6
1993.25,85.9
1993.3333333,85.6
1993.4166667,80.3
1993.5,81.5
1993.5833333,77
1993.6666667,77.3
1993.75,77.9
1993.8333333,82.7
1993.9166667,81.2
1994,88.2
1994.0833333,94.3
1994.1666667,93.2
1994.25,91.5
1994.3333333,92.6
1994.4166667,92.8
1994.5,91.2
1994.5833333,89
1994.6666667,91.7
1994.75,91.5
1994.8333333,92.7
1994.9166667,91.6
1995,95.1
1995.0833333,97.6
1995.1666667,95.1
1995.25,90.3
1995.3333333,92.5
1995.4166667,89.8
1995.5,92.7
1995.5833333,94.4
1995.6666667,96.2
1995.75,88.9
1995.8333333,90.2
1995.9166667,88.2
1996,91
1996.0833333,89.3
1996.1666667,88.5
1996.25,93.7
1996.3333333,92.7
1996.4166667,89.4
1996.5,92.4
1996.5833333,94.7
1996.6666667,95.3
1996.75,94.7
1996.8333333,96.5
1996.9166667,99.2
1997,96.9
1997.0833333,97.4
1997.1666667,99.7
1997.25,100
1997.3333333,101.4
1997.4166667,103.2
1997.5,104.5
1997.5833333,107.1
1997.6666667,104.4
1997.75,106
1997.8333333,105.6
1997.9166667,107.2
1998,102.1
1998.0833333,106.6
1998.1666667,110.4
1998.25,106.5
1998.3333333,108.7
1998.4166667,106.5
1998.5,105.6
1998.5833333,105.2
1998.6666667,104.4
1998.75,100.9
1998.8333333,97.4
1998.9166667,102.7
1999,100.5
1999.0833333,103.9
1999.1666667,108.1
1999.25,105.7
1999.3333333,104.6
1999.4166667,106.8
1999.5,107.3
1999.5833333,106
1999.6666667,104.5
1999.75,107.2
1999.8333333,103.2
1999.9166667,107.2
2000,105.4
2000.0833333,112
2000.1666667,111.3
2000.25,107.1
2000.3333333,109.2
2000.4166667,110.7
2000.5,106.4
2000.5833333,108.3
2000.6666667,107.3
2000.75,106.8
2000.8333333,105.8
2000.9166667,107.6
2001,98.4
2001.0833333,94.7
2001.1666667,90.6
2001.25,91.5
2001.3333333,88.4
2001.4166667,92
2001.5,92.6
2001.5833333,92.4
2001.6666667,91.5
2001.75,81.8
2001.8333333,82.7
2001.9166667,83.9
2002,88.8
2002.0833333,93
2002.1666667,90.7
2002.25,95.7
2002.3333333,93
2002.4166667,96.9
2002.5,92.4
2002.5833333,88.1
2002.6666667,87.6
2002.75,86.1
2002.8333333,80.6
2002.9166667,84.2
2003,86.7
2003.0833333,82.4
2003.1666667,79.9
2003.25,77.6
2003.3333333,86
2003.4166667,92.1
2003.5,89.7
2003.5833333,90.9
2003.6666667,89.3
2003.75,87.7
2003.8333333,89.6
2003.9166667,93.7
2004,92.6
2004.0833333,103.8
2004.1666667,94.4
2004.25,95.8
2004.3333333,94.2
2004.4166667,90.2
2004.5,95.6
2004.5833333,96.7
2004.6666667,95.9
2004.75,94.2
2004.8333333,91.7
2004.9166667,92.8
2005,97.1
2005.0833333,95.5
2005.1666667,94.1
2005.25,92.6
2005.3333333,87.7
2005.4166667,86.9
2005.5,96
2005.5833333,96.5
2005.6666667,89.1
2005.75,76.9
2005.8333333,74.2
2005.9166667,81.6
2006,91.5
2006.0833333,91.2
2006.1666667,86.7
2006.25,88.9
2006.3333333,87.4
2006.4166667,79.1
2006.5,84.9
2006.5833333,84.7
2006.6666667,82
2006.75,85.4
2006.8333333,93.6
2006.9166667,92.1
2007,91.7
2007.0833333,96.9
2007.1666667,91.3
2007.25,88.4
2007.3333333,87.1
2007.4166667,88.3
2007.5,85.3
2007.5833333,90.4
2007.6666667,83.4
2007.75,83.4
2007.8333333,80.9
2007.9166667,76.1
2008,75.5
2008.0833333,78.4
2008.1666667,70.8
2008.25,69.5
2008.3333333,62.6
2008.4166667,59.8
2008.5,56.4
2008.5833333,61.2
2008.6666667,63
2008.75,70.3
2008.8333333,57.6
2008.9166667,55.3
2009,60.1
2009.0833333,61.2
2009.1666667,56.3
2009.25,57.3
2009.3333333,65.1
2009.4166667,68.7
2009.5,70.8
2009.5833333,66
2009.6666667,65.7
2009.75,73.5
2009.8333333,70.6
2009.9166667,67.4
2010,72.5
2010.0833333,74.4
2010.1666667,73.6
2010.25,73.6
2010.3333333,72.2
2010.4166667,73.6
2010.5,76
2010.5833333,67.8
2010.6666667,68.9
2010.75,68.2
2010.8333333,67.7
2010.9166667,71.6
2011,74.5
2011.0833333,74.2
2011.1666667,77.5
2011.25,67.5
2011.3333333,69.8
2011.4166667,74.3
2011.5,71.5
2011.5833333,63.7
2011.6666667,55.8
2011.75,59.5
2011.8333333,60.8
2011.9166667,63.7
2012,69.9
2012.0833333,75
2012.1666667,75.3
2012.25,76.2
2012.3333333,76.4
2012.4166667,79.3
2012.5,73.2
