x,y
2012.5833333,72.3
2012.6666667,74.3
2012.75,78.3
2012.8333333,82.6
2012.9166667,82.7
2013,72.9
2013.0833333,73.8
2013.1666667,77.6
2013.25,78.6
2013.3333333,76.4
2013.4166667,84.5
2013.5,84.1
2013.5833333,85.1
2013.6666667,82.1
2013.75,77.5
2013.8333333,73.2
2013.9166667,75.1
2014,82.5
2014.0833333,81.2
2014.1666667,81.6
2014.25,80
2014.3333333,84.1
2014.4166667,81.9
2014.5,82.5
2014.5833333,81.8
2014.6666667,82.5
2014.75,84.6
2014.8333333,86.9
2014.9166667,88.8
2015,93.6
2015.0833333,98.1
2015.1666667,95.4
2015.25,93
2015.3333333,95.9
2015.4166667,90.7
2015.5,96.1
2015.5833333,93.1
2015.6666667,91.9
2015.75,87.2
2015.8333333,90
2015.9166667,91.3
2016,92.6
2016.0833333,92
2016.1666667,91.7
2016.25,91
2016.3333333,89
2016.4166667,94.7
2016.5,93.5
2016.5833333,90
2016.6666667,89.8
2016.75,91.2
2016.8333333,87.2
2016.9166667,93.8
2017,98.2
2017.0833333,98.5
2017.1666667,96.3
2017.25,96.9
2017.3333333,97
2017.4166667,97.1
2017.5,95
2017.5833333,93.4
2017.6666667,96.8
2017.75,95.1
2017.8333333,100.7
2017.9166667,98.5
2018,95.9
2018.0833333,95.7
2018.1666667,99.7
2018.25,101.4
2018.3333333,98.8
2018.4166667,98
2018.5,98.2
2018.5833333,97.9
2018.6666667,96.2
2018.75,100.1
2018.8333333,98.6
2018.9166667,97.5
2019,98.3
2019.0833333,91.2
2019.1666667,93.8
2019.25,98.4
2019.3333333,97.2
2019.4166667,100
2019.5,98.2
2019.5833333,98.4
2019.6666667,89.8
2019.75,93.2
2019.8333333,95.5
2019.9166667,96.8
2020,99.3
2020.0833333,99.8
2020.1666667,101
2020.25,89.1
2020.3333333,71.8
2020.4166667,72.3
2020.5,78.1
2020.5833333,72.5
2020.6666667,74.1
2020.75,80.4
2020.8333333,81.8
2020.9166667,76.9
2021,80.7
2021.0833333,79
2021.1666667,76.8
2021.25,84.9
2021.3333333,88.3
2021.4166667,82.9
2021.5,85.5
2021.5833333,81.2
2021.6666667,70.3
2021.75,72.8
