x,y
1954.5833333,0.8
1954.6666667,1.22
1954.75,1.07
1954.8333333,0.85
1954.9166667,0.83
1955,1.28
1955.0833333,1.39
1955.1666667,1.29
1955.25,1.35
1955.3333333,1.43
1955.4166667,1.43
1955.5,1.64
1955.5833333,1.68
1955.6666667,1.96
1955.75,2.18
1955.8333333,2.24
1955.9166667,2.35
1956,2.48
1956.0833333,2.45
1956.1666667,2.5
1956.25,2.5
1956.3333333,2.62
1956.4166667,2.75
1956.5,2.71
1956.5833333,2.75
1956.6666667,2.73
1956.75,2.95
1956.8333333,2.96
1956.9166667,2.88
1957,2.94
1957.0833333,2.84
1957.1666667,3
1957.25,2.96
1957.3333333,3
1957.4166667,3
1957.5,3
1957.5833333,2.99
1957.6666667,3.24
1957.75,3.47
1957.8333333,3.5
1957.9166667,3.28
1958,2.98
1958.0833333,2.72
1958.1666667,1.67
1958.25,1.2
1958.3333333,1.26
1958.4166667,0.63
1958.5,0.93
1958.5833333,0.68
1958.6666667,1.53
1958.75,1.76
1958.8333333,1.8
1958.9166667,2.27
1959,2.42
1959.0833333,2.48
1959.1666667,2.43
1959.25,2.8
1959.3333333,2.96
1959.4166667,2.9
1959.5,3.39
1959.5833333,3.47
1959.6666667,3.5
1959.75,3.76
1959.8333333,3.98
1959.9166667,4
1960,3.99
1960.0833333,3.99
1960.1666667,3.97
1960.25,3.84
1960.3333333,3.92
1960.4166667,3.85
1960.5,3.32
1960.5833333,3.23
1960.6666667,2.98
1960.75,2.6
1960.8333333,2.47
1960.9166667,2.44
1961,1.98
1961.0833333,1.45
1961.1666667,2.54
1961.25,2.02
1961.3333333,1.49
1961.4166667,1.98
1961.5,1.73
1961.5833333,1.17
1961.6666667,2
1961.75,1.88
1961.8333333,2.26
1961.9166667,2.61
1962,2.33
1962.0833333,2.15
1962.1666667,2.37
1962.25,2.85
1962.3333333,2.78
1962.4166667,2.36
1962.5,2.68
1962.5833333,2.71
1962.6666667,2.93
1962.75,2.9
1962.8333333,2.9
1962.9166667,2.94
1963,2.93
1963.0833333,2.92
1963.1666667,3
1963.25,2.98
1963.3333333,2.9
1963.4166667,3
1963.5,2.99
1963.5833333,3.02
1963.6666667,3.49
1963.75,3.48
1963.8333333,3.5
1963.9166667,3.48
1964,3.38
1964.0833333,3.48
1964.1666667,3.48
1964.25,3.43
1964.3333333,3.47
1964.4166667,3.5
1964.5,3.5
1964.5833333,3.42
1964.6666667,3.5
1964.75,3.45
1964.8333333,3.36
1964.9166667,3.52
1965,3.85
1965.0833333,3.9
1965.1666667,3.98
1965.25,4.05
1965.3333333,4.09
1965.4166667,4.1
1965.5,4.05
1965.5833333,4.09
1965.6666667,4.12
1965.75,4.02
1965.8333333,4.08
1965.9166667,4.1
1966,4.32
1966.0833333,4.42
1966.1666667,4.6
1966.25,4.66
1966.3333333,4.67
1966.4166667,4.9
1966.5,5.17
1966.5833333,5.3
1966.6666667,5.53
1966.75,5.4
1966.8333333,5.53
1966.9166667,5.76
1967,5.4
1967.0833333,4.94
1967.1666667,5
1967.25,4.53
1967.3333333,4.05
1967.4166667,3.94
1967.5,3.98
1967.5833333,3.79
1967.6666667,3.9
1967.75,3.99
1967.8333333,3.88
1967.9166667,4.13
1968,4.51
1968.0833333,4.61
1968.1666667,4.71
1968.25,5.05
1968.3333333,5.76
1968.4166667,6.12
1968.5,6.07
