x,y
1968.5833333,6.03
1968.6666667,6.03
1968.75,5.78
1968.8333333,5.91
1968.9166667,5.82
1969,6.02
1969.0833333,6.3
1969.1666667,6.61
1969.25,6.79
1969.3333333,7.41
1969.4166667,8.67
1969.5,8.9
1969.5833333,8.61
1969.6666667,9.19
1969.75,9.15
1969.8333333,9
1969.9166667,8.85
1970,8.97
1970.0833333,8.98
1970.1666667,8.98
1970.25,7.76
1970.3333333,8.1
1970.4166667,7.95
1970.5,7.61
1970.5833333,7.21
1970.6666667,6.62
1970.75,6.29
1970.8333333,6.2
1970.9166667,5.6
1971,4.9
1971.0833333,4.14
1971.1666667,3.72
1971.25,3.71
1971.3333333,4.16
1971.4166667,4.63
1971.5,4.91
1971.5833333,5.31
1971.6666667,5.57
1971.75,5.55
1971.8333333,5.2
1971.9166667,4.91
1972,4.14
1972.0833333,3.51
1972.1666667,3.3
1972.25,3.83
1972.3333333,4.17
1972.4166667,4.27
1972.5,4.46
1972.5833333,4.55
1972.6666667,4.81
1972.75,4.87
1972.8333333,5.05
1972.9166667,5.06
1973,5.33
1973.0833333,5.94
1973.1666667,6.58
1973.25,7.09
1973.3333333,7.12
1973.4166667,7.84
1973.5,8.49
1973.5833333,10.4
1973.6666667,10.5
1973.75,10.78
1973.8333333,10.01
1973.9166667,10.03
1974,9.95
1974.0833333,9.65
1974.1666667,8.97
1974.25,9.35
1974.3333333,10.51
1974.4166667,11.31
1974.5,11.93
1974.5833333,12.92
1974.6666667,12.01
1974.75,11.34
1974.8333333,10.06
1974.9166667,9.45
1975,8.53
1975.0833333,7.13
1975.1666667,6.24
1975.25,5.54
1975.3333333,5.49
1975.4166667,5.22
1975.5,5.55
1975.5833333,6.1
1975.6666667,6.14
1975.75,6.24
1975.8333333,5.82
1975.9166667,5.22
1976,5.2
1976.0833333,4.87
1976.1666667,4.77
1976.25,4.84
1976.3333333,4.82
1976.4166667,5.29
1976.5,5.48
1976.5833333,5.31
1976.6666667,5.29
1976.75,5.25
1976.8333333,5.02
1976.9166667,4.95
1977,4.65
1977.0833333,4.61
1977.1666667,4.68
1977.25,4.69
1977.3333333,4.73
1977.4166667,5.35
1977.5,5.39
1977.5833333,5.42
1977.6666667,5.9
1977.75,6.14
1977.8333333,6.47
1977.9166667,6.51
1978,6.56
1978.0833333,6.7
1978.1666667,6.78
1978.25,6.79
1978.3333333,6.89
1978.4166667,7.36
1978.5,7.6
1978.5833333,7.81
1978.6666667,8.04
1978.75,8.45
1978.8333333,8.96
1978.9166667,9.76
1979,10.03
1979.0833333,10.07
1979.1666667,10.06
1979.25,10.09
1979.3333333,10.01
1979.4166667,10.24
1979.5,10.29
1979.5833333,10.47
1979.6666667,10.94
1979.75,11.43
1979.8333333,13.77
1979.9166667,13.18
1980,13.78
1980.0833333,13.82
1980.1666667,14.13
1980.25,17.19
1980.3333333,17.61
1980.4166667,10.98
1980.5,9.47
1980.5833333,9.03
1980.6666667,9.61
1980.75,10.87
1980.8333333,12.81
1980.9166667,15.85
1981,18.9
1981.0833333,19.08
1981.1666667,15.93
1981.25,14.7
1981.3333333,15.72
1981.4166667,18.52
1981.5,19.1
1981.5833333,19.04
1981.6666667,17.82
1981.75,15.87
1981.8333333,15.08
1981.9166667,13.31
1982,12.37
1982.0833333,13.22
1982.1666667,14.78
1982.25,14.68
1982.3333333,14.94
1982.4166667,14.45
1982.5,14.15
1982.5833333,12.59
1982.6666667,10.12
1982.75,10.31
1982.8333333,9.71
1982.9166667,9.2
1983,8.95
1983.0833333,8.68
1983.1666667,8.51
1983.25,8.77
1983.3333333,8.8
1983.4166667,8.63
1983.5,8.98
1983.5833333,9.37
1983.6666667,9.56
1983.75,9.45
1983.8333333,9.48
1983.9166667,9.34
1984,9.47
1984.0833333,9.56
1984.1666667,9.59
1984.25,9.91
1984.3333333,10.29
1984.4166667,10.32
1984.5,11.06
1984.5833333,11.23
1984.6666667,11.64
1984.75,11.3
1984.8333333,9.99
1984.9166667,9.43
1985,8.38
1985.0833333,8.35
1985.1666667,8.5
1985.25,8.58
1985.3333333,8.27
1985.4166667,7.97
1985.5,7.53
1985.5833333,7.88
1985.6666667,7.9
1985.75,7.92
1985.8333333,7.99
1985.9166667,8.05
1986,8.27
1986.0833333,8.14
1986.1666667,7.86
1986.25,7.48
1986.3333333,6.99
1986.4166667,6.85
1986.5,6.92
1986.5833333,6.56
1986.6666667,6.17
1986.75,5.89
1986.8333333,5.85
1986.9166667,6.04
1987,6.91
1987.0833333,6.43
1987.1666667,6.1
1987.25,6.13
1987.3333333,6.37
1987.4166667,6.85
1987.5,6.73
1987.5833333,6.58
1987.6666667,6.73
1987.75,7.22
1987.8333333,7.29
1987.9166667,6.69
1988,6.77
1988.0833333,6.83
1988.1666667,6.58
1988.25,6.58
1988.3333333,6.87
1988.4166667,7.09
1988.5,7.51
1988.5833333,7.75
1988.6666667,8.01
1988.75,8.19
1988.8333333,8.3
1988.9166667,8.35
1989,8.76
1989.0833333,9.12
1989.1666667,9.36
1989.25,9.85
1989.3333333,9.84
1989.4166667,9.81
1989.5,9.53
1989.5833333,9.24
1989.6666667,8.99
1989.75,9.02
1989.8333333,8.84
1989.9166667,8.55
1990,8.45
1990.0833333,8.23
1990.1666667,8.24
1990.25,8.28
1990.3333333,8.26
1990.4166667,8.18
1990.5,8.29
1990.5833333,8.15
1990.6666667,8.13
1990.75,8.2
1990.8333333,8.11
1990.9166667,7.81
1991,7.31
1991.0833333,6.91
1991.1666667,6.25
1991.25,6.12
1991.3333333,5.91
1991.4166667,5.78
1991.5,5.9
1991.5833333,5.82
1991.6666667,5.66
1991.75,5.45
1991.8333333,5.21
1991.9166667,4.81
1992,4.43
1992.0833333,4.03
1992.1666667,4.06
1992.25,3.98
1992.3333333,3.73
1992.4166667,3.82
1992.5,3.76
1992.5833333,3.25
1992.6666667,3.3
1992.75,3.22
1992.8333333,3.1
1992.9166667,3.09
1993,2.92
1993.0833333,3.02
1993.1666667,3.03
1993.25,3.07
1993.3333333,2.96
1993.4166667,3
1993.5,3.04
1993.5833333,3.06
1993.6666667,3.03
1993.75,3.09
1993.8333333,2.99
1993.9166667,3.02
1994,2.96
1994.0833333,3.05
1994.1666667,3.25
1994.25,3.34
1994.3333333,3.56
1994.4166667,4.01
1994.5,4.25
1994.5833333,4.26
1994.6666667,4.47
1994.75,4.73
1994.8333333,4.76
1994.9166667,5.29
1995,5.45
1995.0833333,5.53
1995.1666667,5.92
1995.25,5.98
1995.3333333,6.05
1995.4166667,6.01
1995.5,6
1995.5833333,5.85
1995.6666667,5.74
1995.75,5.8
1995.8333333,5.76
1995.9166667,5.8
1996,5.6
1996.0833333,5.56
1996.1666667,5.22
1996.25,5.31
1996.3333333,5.22
1996.4166667,5.24
1996.5,5.27
1996.5833333,5.4
1996.6666667,5.22
1996.75,5.3
1996.8333333,5.24
1996.9166667,5.31
1997,5.29
1997.0833333,5.25
1997.1666667,5.19
1997.25,5.39
1997.3333333,5.51
1997.4166667,5.5
1997.5,5.56
1997.5833333,5.52
1997.6666667,5.54
1997.75,5.54
1997.8333333,5.5
1997.9166667,5.52
1998,5.5
1998.0833333,5.56
1998.1666667,5.51
1998.25,5.49
1998.3333333,5.45
1998.4166667,5.49
1998.5,5.56
1998.5833333,5.54
1998.6666667,5.55
1998.75,5.51
1998.8333333,5.07
1998.9166667,4.83
1999,4.68
1999.0833333,4.63
1999.1666667,4.76
1999.25,4.81
1999.3333333,4.74
1999.4166667,4.74
1999.5,4.76
1999.5833333,4.99
1999.6666667,5.07
1999.75,5.22
1999.8333333,5.2
1999.9166667,5.42
2000,5.3
2000.0833333,5.45
2000.1666667,5.73
2000.25,5.85
2000.3333333,6.02
2000.4166667,6.27
2000.5,6.53
2000.5833333,6.54
2000.6666667,6.5
2000.75,6.52
2000.8333333,6.51
2000.9166667,6.51
2001,6.4
2001.0833333,5.98
2001.1666667,5.49
2001.25,5.31
2001.3333333,4.8
2001.4166667,4.21
2001.5,3.97
2001.5833333,3.77
2001.6666667,3.65
2001.75,3.07
2001.8333333,2.49
2001.9166667,2.09
2002,1.82
2002.0833333,1.73
2002.1666667,1.74
2002.25,1.73
2002.3333333,1.75
2002.4166667,1.75
2002.5,1.75
2002.5833333,1.73
2002.6666667,1.74
2002.75,1.75
2002.8333333,1.75
2002.9166667,1.34
2003,1.24
2003.0833333,1.24
2003.1666667,1.26
2003.25,1.25
2003.3333333,1.26
2003.4166667,1.26
2003.5,1.22
2003.5833333,1.01
2003.6666667,1.03
2003.75,1.01
2003.8333333,1.01
2003.9166667,1
2004,0.98
2004.0833333,1
2004.1666667,1.01
2004.25,1
2004.3333333,1
2004.4166667,1
2004.5,1.03
2004.5833333,1.26
2004.6666667,1.43
2004.75,1.61
2004.8333333,1.76
2004.9166667,1.93
2005,2.16
2005.0833333,2.28
2005.1666667,2.5
2005.25,2.63
2005.3333333,2.79
2005.4166667,3
2005.5,3.04
2005.5833333,3.26
2005.6666667,3.5
2005.75,3.62
2005.8333333,3.78
2005.9166667,4
2006,4.16
2006.0833333,4.29
2006.1666667,4.49
2006.25,4.59
2006.3333333,4.79
2006.4166667,4.94
2006.5,4.99
2006.5833333,5.24
2006.6666667,5.25
2006.75,5.25
2006.8333333,5.25
2006.9166667,5.25
2007,5.24
2007.0833333,5.25
2007.1666667,5.26
2007.25,5.26
2007.3333333,5.25
2007.4166667,5.25
2007.5,5.25
2007.5833333,5.26
2007.6666667,5.02
2007.75,4.94
2007.8333333,4.76
2007.9166667,4.49
2008,4.24
2008.0833333,3.94
2008.1666667,2.98
2008.25,2.61
2008.3333333,2.28
2008.4166667,1.98
2008.5,2
2008.5833333,2.01
2008.6666667,2
2008.75,1.81
2008.8333333,0.97
2008.9166667,0.39
2009,0.16
2009.0833333,0.15
2009.1666667,0.22
2009.25,0.18
2009.3333333,0.15
2009.4166667,0.18
2009.5,0.21
2009.5833333,0.16
2009.6666667,0.16
2009.75,0.15
2009.8333333,0.12
2009.9166667,0.12
2010,0.12
2010.0833333,0.11
2010.1666667,0.13
2010.25,0.16
2010.3333333,0.2
2010.4166667,0.2
2010.5,0.18
2010.5833333,0.18
2010.6666667,0.19
2010.75,0.19
2010.8333333,0.19
2010.9166667,0.19
2011,0.18
2011.0833333,0.17
2011.1666667,0.16
2011.25,0.14
2011.3333333,0.1
2011.4166667,0.09
2011.5,0.09
2011.5833333,0.07
2011.6666667,0.1
2011.75,0.08
2011.8333333,0.07
2011.9166667,0.08
2012,0.07
2012.0833333,0.08
2012.1666667,0.1
2012.25,0.13
2012.3333333,0.14
2012.4166667,0.16
2012.5,0.16
2012.5833333,0.16
2012.6666667,0.13
2012.75,0.14
2012.8333333,0.16
2012.9166667,0.16
2013,0.16
2013.0833333,0.14
2013.1666667,0.15
2013.25,0.14
2013.3333333,0.15
2013.4166667,0.11
2013.5,0.09
2013.5833333,0.09
2013.6666667,0.08
2013.75,0.08
2013.8333333,0.09
2013.9166667,0.08
2014,0.09
2014.0833333,0.07
2014.1666667,0.07
2014.25,0.08
2014.3333333,0.09
2014.4166667,0.09
2014.5,0.1
2014.5833333,0.09
2014.6666667,0.09
2014.75,0.09
2014.8333333,0.09
2014.9166667,0.09
2015,0.12
2015.0833333,0.11
2015.1666667,0.11
2015.25,0.11
2015.3333333,0.12
2015.4166667,0.12
2015.5,0.13
2015.5833333,0.13
2015.6666667,0.14
2015.75,0.14
2015.8333333,0.12
2015.9166667,0.12
2016,0.24
2016.0833333,0.34
2016.1666667,0.38
2016.25,0.36
2016.3333333,0.37
2016.4166667,0.37
2016.5,0.38
2016.5833333,0.39
2016.6666667,0.4
2016.75,0.4
2016.8333333,0.4
2016.9166667,0.41
2017,0.54
2017.0833333,0.65
2017.1666667,0.66
2017.25,0.79
2017.3333333,0.9
2017.4166667,0.91
2017.5,1.04
2017.5833333,1.15
2017.6666667,1.16
2017.75,1.15
2017.8333333,1.15
2017.9166667,1.16
2018,1.3
2018.0833333,1.41
2018.1666667,1.42
2018.25,1.51
2018.3333333,1.69
2018.4166667,1.7
2018.5,1.82
2018.5833333,1.91
2018.6666667,1.91
2018.75,1.95
2018.8333333,2.19
2018.9166667,2.2
2019,2.27
2019.0833333,2.4
2019.1666667,2.4
2019.25,2.41
2019.3333333,2.42
2019.4166667,2.39
2019.5,2.38
2019.5833333,2.4
2019.6666667,2.13
2019.75,2.04
2019.8333333,1.83
2019.9166667,1.55
2020,1.55
2020.0833333,1.55
2020.1666667,1.58
2020.25,0.65
2020.3333333,0.05
2020.4166667,0.05
2020.5,0.08
2020.5833333,0.09
2020.6666667,0.1
2020.75,0.09
2020.8333333,0.09
2020.9166667,0.09
2021,0.09
2021.0833333,0.09
2021.1666667,0.08
2021.25,0.07
2021.3333333,0.07
2021.4166667,0.06
2021.5,0.08
2021.5833333,0.1
2021.6666667,0.09
2021.75,0.08
