x,y
1881.0833333,18.47
1881.1666667,18.15
1881.25,18.27
1881.3333333,17.95
1881.4166667,18.87
1881.5,19.03
1881.5833333,18.12
1881.6666667,17.29
1881.75,16.72
1881.8333333,16.26
1881.9166667,16.48
1882,15.96
1882.0833333,15.68
1882.1666667,15.15
1882.25,15.09
1882.3333333,14.92
1882.4166667,14.57
1882.5,14.33
1882.5833333,15.24
1882.6666667,15.53
1882.75,16.08
1882.8333333,15.76
1882.9166667,15.19
1883,15.38
1883.0833333,15.27
1883.1666667,14.76
1883.25,15.05
1883.3333333,15.48
1883.4166667,15.34
1883.5,15.9
1883.5833333,15.95
1883.6666667,15.2
1883.75,15.49
1883.8333333,15.05
1883.9166667,15.41
1884,14.9
1884.0833333,14.43
1884.1666667,14.81
1884.25,14.74
1884.3333333,14.35
1884.4166667,13.47
1884.5,12.91
1884.5833333,13.04
1884.6666667,13.86
1884.75,13.57
1884.8333333,13.27
1884.9166667,13.3
1885,13.43
1885.0833333,13.13
1885.1666667,13.38
1885.25,13.73
1885.3333333,13.55
1885.4166667,13.71
1885.5,13.98
1885.5833333,14.33
1885.6666667,15.13
1885.75,15.12
1885.8333333,15.99
1885.9166667,16.82
1886,16.3
1886.0833333,16.69
1886.1666667,17.01
1886.25,16.84
1886.3333333,16.8
1886.4166667,16.86
1886.5,17.83
1886.5833333,17.85
1886.6666667,17.72
1886.75,18.15
1886.8333333,18.56
1886.9166667,18.97
1887,18.19
1887.0833333,17.51
1887.1666667,17.13
1887.25,17.47
1887.3333333,17.82
1887.4166667,18.08
1887.5,17.71
1887.5833333,17.43
1887.6666667,16.74
1887.75,16.68
1887.8333333,15.88
1887.9166667,15.95
1888,15.46
1888.0833333,15.36
1888.1666667,15.42
1888.25,14.81
1888.3333333,15.02
1888.4166667,15.39
1888.5,15.08
1888.5833333,15.28
1888.6666667,15.6
1888.75,15.99
1888.8333333,15.72
1888.9166667,15.22
1889,14.95
1889.0833333,15.8
1889.1666667,16.19
1889.25,16.07
1889.3333333,16.05
1889.4166667,16.92
1889.5,17.22
1889.5833333,16.89
1889.6666667,17.13
1889.75,17.35
1889.8333333,17.05
1889.9166667,16.91
1890,16.61
1890.0833333,17.22
1890.1666667,17.03
1890.25,16.9
1890.3333333,17.26
1890.4166667,17.79
1890.5,17.68
1890.5833333,17.59
1890.6666667,16.6
1890.75,16.17
1890.8333333,15.48
1890.9166667,14.75
1891,14.44
1891.0833333,15.43
1891.1666667,15.48
1891.25,15.05
1891.3333333,15.41
1891.4166667,15.57
1891.5,15.66
1891.5833333,15.62
1891.6666667,16.16
1891.75,17.71
1891.8333333,17.72
1891.9166667,17.67
1892,18.21
1892.0833333,19.02
1892.1666667,19.04
1892.25,19.74
1892.3333333,19.94
1892.4166667,19.91
1892.5,19.77
1892.5833333,19.21
1892.6666667,19.2
1892.75,18.69
1892.8333333,19.04
1892.9166667,18.46
1893,18.01
1893.0833333,17.66
1893.1666667,17.13
1893.25,16.9
1893.3333333,17.1
1893.4166667,15.78
1893.5,15.42
1893.5833333,14.35
1893.6666667,14.59
1893.75,15.01
1893.8333333,15.27
1893.9166667,15.94
1894,15.61
1894.0833333,15.74
1894.1666667,16.2
1894.25,17.19
1894.3333333,17.43
1894.4166667,16.81
1894.5,16.61
1894.5833333,16.29
1894.6666667,16.46
1894.75,16.52
1894.8333333,16.5
1894.9166667,16.54
1895,16.67
1895.0833333,16.52
1895.1666667,16.33
1895.25,16.36
1895.3333333,16.39
1895.4166667,17.08
1895.5,17.21
1895.5833333,17.55
1895.6666667,18.07
1895.75,18.2
1895.8333333,17.94
1895.9166667,17.34
1896,16.55
1896.0833333,16.58
1896.1666667,17.52
1896.25,17.23
1896.3333333,17.64
1896.4166667,17.83
1896.5,17.78
1896.5833333,16.64
1896.6666667,15.7
1896.75,16.54
1896.8333333,16.44
1896.9166667,17.09
1897,16.5
1897.0833333,17.03
1897.1666667,16.89
1897.25,16.96
1897.3333333,16.7
1897.4166667,17.05
1897.5,17.85
1897.5833333,18.65
1897.6666667,19.01
1897.75,19.37
1897.8333333,19.03
1897.9166667,18.36
1898,18.75
1898.0833333,19.25
1898.1666667,18.92
1898.25,18.04
1898.3333333,17.71
1898.4166667,17.6
1898.5,19.54
1898.5833333,19.86
1898.6666667,20.54
1898.75,20.44
1898.8333333,19.95
1898.9166667,20.53
1899,21.4
1899.0833333,22.93
1899.1666667,23.05
1899.25,23.28
