x,y1,y2,y3,y4,y5,y6
1967,114.70107968,118.91510054,116.10200861,98.518080033,100.03411018,114.55387191
1967.0833333,124.04921767,129.70070016,118.7143038,99.434298177,96.903042528,115.04645356
1967.1666667,125.01680157,133.65657152,116.12633198,101.47270129,95.97277332,115.46062079
1967.25,130.00497195,135.9688302,116.75341417,102.46713376,94.581168107,115.91091721
1967.3333333,135.06216536,136.53989929,113.89295552,104.90585155,91.138413588,116.28183215
1967.4166667,129.2139736,139.53012308,115.2368924,103.12245207,92.788018874,116.66556219
1967.5,132.32803036,148.47400397,116.21640598,102.46246838,90.551827619,116.98055921
1967.5833333,138.38865415,153.70028891,119.37749223,102.99527321,92.996726965,117.34319894
1967.6666667,137.15699513,154.73008085,121.19203011,103.3660562,94.345179506,117.70696286
1967.75,141.42257768,158.47454881,118.25918298,103.60379812,93.4489003,118.08362514
1967.8333333,137.05262003,159.21937919,114.45123729,104.71235876,91.000539112,118.54415128
1967.9166667,137.55971472,159.12384756,112.51701138,106.12597561,88.871126497,118.97091022
1968,141.75528602,168.32120595,111.8081542,105.25574261,88.986658962,119.36351423
1968.0833333,136.00002141,175.86199597,117.21966887,100.42450402,94.73519713,119.84096828
1968.1666667,130.90002061,170.72682569,118.77869046,100.28390972,97.05620946,120.30834806
1968.25,131.16182065,167.99519648,118.07789619,101.34691916,95.988591156,120.76551978
1968.3333333,143.03196542,178.37729962,116.6963848,104.08328598,92.485007579,121.28481152
1968.4166667,146.29309423,191.0420879,117.46658094,104.40594416,90.709295433,121.83059317
1968.5,147.30251658,190.35433638,118.44155357,103.03822629,93.212871987,122.35446472
1968.5833333,143.29588813,187.6513048,124.8255533,99.802825989,96.605820528,122.94176615
1968.6666667,145.21605303,191.89222429,126.07380884,99.104206207,97.04054672,123.45812157
1968.75,151.06825997,197.34196346,126.45203026,97.132032504,97.894503531,123.98899149
1968.8333333,151.70274666,196.592064,130.06855833,95.849889675,100.37123447,124.53454306
1968.9166667,159.9402058,201.32993274,128.85892074,96.2620442,98.102844572,125.05758814
1969,153.63856169,208.49727835,128.84603484,94.471570178,99.770592929,125.59533577
1969.0833333,151.71807967,207.5590406,131.01064823,93.00726084,101.13745005,126.26099104
1969.1666667,142.85774382,198.9038286,132.18974406,94.93251114,101.92632216,126.8417916
1969.25,146.62918825,198.06843252,131.50235739,93.584469482,101.45746108,127.42526384
1969.3333333,148.7699744,196.42446453,131.46290669,93.968165807,101.69081324,128.10061774
1969.4166667,148.62120443,196.20839762,132.40943962,93.075468231,102.96194841,128.71550071
1969.5,137.95020195,185.41693575,130.96617672,97.096328459,101.3866306,129.37194976
