x,y1,y2,y3,y4
1978.75,34.8,6,5,
1978.8333333,4.4,5,3,
1978.9166667,-0.4,5,1,
1979,-2.7,8,3,
1979.0833333,7.6,6,2,
1979.1666667,2.5,3,1,
1979.25,11.3,6,2,
1979.3333333,25.6,5,4,
1979.4166667,64.6,8,3,
1979.5,50.6,9,4,
1979.5833333,22.3,5,3,
1979.6666667,0.9,5,1,
1979.75,24.7,4,2,
1979.8333333,4.6,11,5,
1979.9166667,28,6,0,
1980,27.4,13,9,
1980.0833333,73.5,14,1,100
1980.1666667,119.1,8,2,50
1980.25,28.5,9,5,33
1980.3333333,39,9,1,0
1980.4166667,21.6,13,4,0
1980.5,13.9,18,8,50
1980.5833333,12.7,26,9,57
1980.6666667,51.7,24,3,100
1980.75,37.4,25,8,100
1980.8333333,74.5,34,8,80
1980.9166667,53.3,23,7,40
1981,69.1,35,17,83
1981.0833333,31.9,24,8,75
1981.1666667,50.5,32,14,75
1981.25,37.8,39,15,50
1981.3333333,16.8,56,29,64
1981.4166667,16.3,46,23,44
1981.5,13.4,62,21,53
1981.5833333,15.6,42,15,50
1981.6666667,3.6,37,12,18
1981.75,2.2,20,10,14
1981.8333333,2.4,37,22,0
1981.9166667,5.9,27,14,18
1982,4.7,28,14,18
1982.0833333,6.2,15,6,0
1982.1666667,2,14,5,0
1982.25,0.2,13,4,25
1982.3333333,21.6,18,7,25
1982.4166667,2.1,19,3,50
1982.5,29.9,14,4,0
1982.5833333,-0.9,14,6,0
1982.6666667,0.3,11,5,50
1982.75,7.1,16,7,20
1982.8333333,22.2,22,6,50
1982.9166667,60.7,22,7,80
1983,31.5,44,21,83
1983.0833333,32.6,24,6,50
1983.1666667,22.1,41,17,86
1983.25,32.8,60,28,80
1983.3333333,34,43,17,64
1983.4166667,44,68,30,90
1983.5,48.2,85,54,90
1983.5833333,28.3,95,50,63
1983.6666667,12.5,104,53,14
1983.75,12,84,40,7
1983.8333333,7.5,86,52,16
1983.9166667,6.6,84,47,3
1984,2.5,109,57,7
1984.0833333,12.6,67,32,4
1984.1666667,10.8,61,16,8
1984.25,11.5,56,18,10
1984.3333333,13.1,39,12,11
1984.4166667,8.9,50,15,0
1984.5,7.2,49,10,0
1984.5833333,14.8,39,9,0
1984.6666667,8.2,51,19,18
1984.75,10.4,28,10,33
1984.8333333,16.4,40,11,10
1984.9166667,14,40,13,0
1985,12.3,32,13,10
1985.0833333,13.5,30,8,0
1985.1666667,19.6,26,1,0
1985.25,29.3,39,11,33
1985.3333333,7,40,12,33
1985.4166667,23.2,40,14,55
1985.5,14.6,40,16,56
1985.5833333,14.4,45,18,50
1985.6666667,4.9,46,19,35
1985.75,14.9,44,10,22
1985.8333333,3.6,65,28,17
1985.9166667,7.8,49,30,25
1986,5.6,43,19,50
1986.0833333,2.7,37,7,50
1986.1666667,10.3,52,16,45
1986.25,12.6,71,28,78
1986.3333333,11.7,48,22,100
1986.4166667,11.7,88,38,45
1986.5,8.5,122,55,53
1986.5833333,6.9,95,52,39
1986.6666667,1.8,92,30,14
1986.75,7,67,23,0
1986.8333333,1,86,45,8
1986.9166667,1.5,90,39,15
1987,1,105,37,16
1987.0833333,11.2,38,15,30
1987.1666667,7.4,58,28,37
1987.25,9.7,73,30,58
1987.3333333,4.1,57,16,37
1987.4166667,2.3,51,31,38
1987.5,4.3,80,40,24
1987.5833333,4.9,84,33,14
1987.6666667,8.6,63,36,33
1987.75,4.2,60,33,20
1987.8333333,0.5,38,20,15
1987.9166667,6.3,21,2,0
1988,,7,0,
